Feature,Importance
num__HbA1c_level,0.40063066056082425
num__blood_glucose_level,0.28768143166321863
num__age,0.15114365447302847
num__bmi,0.10423356399095228
num__hypertension,0.009190785756784687
cat__smoking_history_No Info,0.0065199296247920435
cat__smoking_history_never,0.006424609558868424
cat__gender_Female,0.005487094743774469
cat__gender_Male,0.005406730156060926
num__heart_disease,0.005187148829504638
cat__smoking_history_not current,0.0050345557589607385
cat__smoking_history_former,0.004983966654577421
cat__smoking_history_current,0.004646305937341673
cat__smoking_history_ever,0.003429438993368894
cat__gender_Other,1.2329794248004398e-07
